ch4tbrdn;Tendency of Atmospheric Burden of CH4;tendency_of_atmosphere_moles_of_methane;total yearly averaged atmospheric loss;[['CCMI1_annual']]
wetdms;Wet Deposition Rate of DMS;tendency_of_atmosphere_mass_content_of_dimethyl_sulfide_due_to_wet_deposition;unset;[['CMIP5_aero']]
tnsclw;Tendency of Mass Fraction of Stratiform Cloud Liquid Water In Air;tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air;unset;[['CMIP5_cfMon']]
sfcWindmax;Daily Maximum Near-Surface Wind Speed;wind_speed;near-surface (usually, 10 meters) wind speed.;[['CORDEX_day', 'CORDEX_mon', 'CORDEX_sem']]
clmcalipso;CALIPSO Mid Level Cloud Fraction;cloud_area_fraction_in_atmosphere_layer;unset;[['CMIP5_cf3hr', 'CMIP5_cfDay', 'CMIP5_cfMon', 'CMIP5_cfOff']]
tnsclwa;Tendency of Mass Fraction of Stratiform Cloud Liquid Water due to Advection;tendency_of_mass_fraction_of_stratiform_cloud_liquid_water_in_air_due_to_advection;unset;[['CMIP5_cfMon']]
ch4globalClim;Global Mean Mole Fraction of CH4;mole_fraction_of_methane_in_air;unset;[['CMIP5_Amon']]
pbsi;Biogenic Silica Production;tendency_of_mole_concentration_of_silicon_in_sea_water_due_to_biological_production;unset;[['CMIP5_Oyr']]
cltc;Convective Cloud Fraction;convective_cloud_area_fraction;for the whole atmospheric column, as seen from the surface or the top of the atmosphere. Includes only convective cloud.;[['CMIP5_cf3hr']]
rsut;TOA Outgoing Shortwave Radiation;toa_outgoing_shortwave_flux;at the top of the atmosphere;[['CCMI1_monthly', 'CMIP5_Amon', 'CMIP5_cf3hr', 'CMIP5_cfSites', 'SPECS_Amon']]
dfe;Dissolved Iron Concentration at Surface;mole_concentration_of_dissolved_iron_in_sea_water;dissolved iron in sea water is meant to include both Fe2+ and Fe3+ ions (but not, e.g., particulate detrital iron);[['CMIP5_Omon', 'CMIP5_Oyr']]
vmrco50sa700;co_50_sa Volume Mixing Ratio at 700 hPa;unset;"daily mean, emitted as anthropogenic CO over South Asia (5N-35N; 50E-95E) (emission file available from HTAP), uniform fixed 50-day exponential decay.";[['CCMI1_daily']]
ccl4brdn;Atmospheric Burden of CCl4;atmosphere_moles_of_carbon_tetrachloride;total yearly average burden;[['CCMI1_annual']]
wetbc;Wet Deposition Rate of Black Carbon Aerosol Mass;tendency_of_atmosphere_mass_content_of_black_carbon_dry_aerosol_due_to_wet_deposition;;[['CCMI1_monthly']]
vmrcl2o2;ClOOCl Volume Mixing Ratio;mole_fraction_of_dichlorine_peroxide_in_air;;[['CCMI1_daily']]
vmrch4;CH4 Volume Mixing Ratio;mole_fraction_of_methane_in_air;;[['CCMI1_daily', 'CCMI1_monthly']]
mmrpm10;PM10 Mass Mixing Ratio at 50 Percent RH;mass_fraction_of_pm10_ambient_aerosol_in_air;Must include scalar dimension relh50p specifying relative_humidity of 50%;[['CCMI1_monthly']]
orog;Surface Altitude;surface_altitude;"height above the geoid; as defined here, """"the geoid"""" is a surface of constant geopotential that, if the ocean were at rest, would coincide with mean sea level. Under this definition, the geoid changes as the mean volume of the ocean changes (e.g., due to glacial melt, or global warming of the ocean).  Reported here is the height above the present-day geoid (0.0 over ocean).";[['CMIP5_fx', 'SPECS_fx']]
ua1000;Eastward Wind at 1000 hPa;eastward_wind;Zonal wind on the 1000 hPa surface;[['CCMI1_daily']]
sconcno3;Surface Concentration of NO3;mass_concentration_of_nitrate_dry_aerosol_in_air;Mass concentration in model lowest layer;[['CMIP5_aero']]
hfnorthba;Northward Ocean Heat Transport Due to Bolus Advection;northward_ocean_heat_transport_due_to_bolus_advection;unset;[['SPECS_Omon']]
vmrbr;Atomic Br Volume Mixing Ratio;mole_fraction_of_atomic_bromine_in_air;;[['CCMI1_daily']]
snm;Surface Snow Melt;surface_snow_melt_flux;"Compute as the total surface melt water on the land portion of the grid cell divided by the land area in the grid cell; report as 0.0 for snow-free land regions; report as 0.0 where the land fraction is 0.";[['CORDEX_6h', 'CORDEX_day', 'CORDEX_mon', 'CORDEX_sem']]
msftmyzba;Ocean Meridional Overturning Mass Streamfunction due to Bolus Advection;ocean_meridional_overturning_mass_streamfunction_due_to_bolus_advection;unset;[['CMIP5_Omon']]
mrro;Total Runoff;runoff_flux;"the total runoff (including """"drainage"""" through the base of the soil model) leaving the land portion of the grid cell divided by the land area in the grid cell, averaged over the 3-hour interval.";[['CMIP5_3hr']]
