mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,version,dcpp_start_year,time_range,nc_path
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,SImon,sispeed,gn,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/SImon/sispeed/gn/v20211028/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,SImon,siu,gn,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/SImon/siu/gn/v20211028/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,SImon,siv,gn,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/SImon/siv/gn/v20211028/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,SImon,siconc,gn,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/SImon/siconc/gn/v20211028/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,SImon,sisnthick,gn,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/SImon/sisnthick/gn/v20211028/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,SImon,sitemptop,gn,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/SImon/sitemptop/gn/v20211028/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,SImon,sithick,gn,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/SImon/sithick/gn/v20211028/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,SImon,siconca,gr,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/SImon/siconca/gr/v20211028/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,SImon,sivol,gn,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/SImon/sivol/gn/v20211028/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,Amon,rsdt,gr,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/Amon/rsdt/gr/v20211028/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highres-future,r1i1p2f1,Amon,zg,gr,v20211028,,,/scratch/ms/nl/nm6/cmorised-results/EC-EARTH3P-HR-HighResMIP-highres-future/s2hh/CMIP6/HighResMIP/EC-Earth-Consortium/EC-Earth3P-HR/highres-future/r1i1p2f1/Amon/zg/gr/v20211028/*.nc
