mip_era,activity_id,institution_id,source_id,experiment_id,member_id,table_id,variable_id,grid_label,version,dcpp_start_year,time_range,nc_path
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highresSST-present,r2i1p1f1,Amon,hfls,gr,v20190514,,,/net/pc170547/nobackup_2/users/sager/PRIMAVERA/stream2-from-jasmin/HiRes/Amon/highresSST-present/r2i1p1f1/hfls-fullpath/hfls/gr/v20190514/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highresSST-present,r2i1p1f1,Amon,psl,gr,v20190514,,,/net/pc170547/nobackup_2/users/sager/PRIMAVERA/stream2-from-jasmin/HiRes/Amon/highresSST-present/r2i1p1f1/psl-fullpath/psl/gr/v20190514/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highresSST-present,r2i1p1f1,Amon,rsds,gr,v20190514,,,/net/pc170547/nobackup_2/users/sager/PRIMAVERA/stream2-from-jasmin/HiRes/Amon/highresSST-present/r2i1p1f1/rsds-fullpath/rsds/gr/v20190514/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highresSST-present,r2i1p1f1,Amon,rlds,gr,v20190514,,,/net/pc170547/nobackup_2/users/sager/PRIMAVERA/stream2-from-jasmin/HiRes/Amon/highresSST-present/r2i1p1f1/rlds-fullpath/rlds/gr/v20190514/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highresSST-present,r2i1p1f1,Amon,rsus,gr,v20190514,,,/net/pc170547/nobackup_2/users/sager/PRIMAVERA/stream2-from-jasmin/HiRes/Amon/highresSST-present/r2i1p1f1/rsus-fullpath/rsus/gr/v20190514/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highresSST-present,r2i1p1f1,Amon,zg,gr,v20190514,,,/net/pc170547/nobackup_2/users/sager/PRIMAVERA/stream2-from-jasmin/HiRes/Amon/highresSST-present/r2i1p1f1/zg-fullpath/zg/gr/v20190514/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highresSST-present,r2i1p1f1,Amon,pr,gr,v20190514,,,/net/pc170547/nobackup_2/users/sager/PRIMAVERA/stream2-from-jasmin/HiRes/Amon/highresSST-present/r2i1p1f1/pr-fullpath/pr/gr/v20190514/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highresSST-present,r2i1p1f1,Amon,rlus,gr,v20190514,,,/net/pc170547/nobackup_2/users/sager/PRIMAVERA/stream2-from-jasmin/HiRes/Amon/highresSST-present/r2i1p1f1/rlus-fullpath/rlus/gr/v20190514/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highresSST-present,r2i1p1f1,Amon,tas,gr,v20190514,,,/net/pc170547/nobackup_2/users/sager/PRIMAVERA/stream2-from-jasmin/HiRes/Amon/highresSST-present/r2i1p1f1/tas-fullpath/tas/gr/v20190514/*.nc
CMIP6,HighResMIP,EC-Earth-Consortium,EC-Earth3P-HR,highresSST-present,r2i1p1f1,Amon,hfss,gr,v20190514,,,/net/pc170547/nobackup_2/users/sager/PRIMAVERA/stream2-from-jasmin/HiRes/Amon/highresSST-present/r2i1p1f1/hfss-fullpath/hfss/gr/v20190514/*.nc
